id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;user_id;username;login_timestamp;ip_address;user_agent;session_id
1;550e8400-e29b-41d4-a716-446655451001;USER_LOGGED_IN;2024-01-16T08:15:00;1;550e8400-e29b-41d4-a716-446655451101;USR_001;UserAggregate;1;admin;2024-01-16T08:15:00;192.168.1.100;Mozilla/5.0 Chrome/120.0;SES-001
2;550e8400-e29b-41d4-a716-446655451002;USER_LOGGED_IN;2024-01-16T08:45:00;1;550e8400-e29b-41d4-a716-446655451102;USR_002;UserAggregate;2;manager;2024-01-16T08:45:00;192.168.1.101;Mozilla/5.0 Chrome/120.0;SES-002
3;550e8400-e29b-41d4-a716-446655451003;USER_LOGGED_IN;2024-01-16T09:15:00;1;550e8400-e29b-41d4-a716-446655451103;USR_003;UserAggregate;3;analyst;2024-01-16T09:15:00;192.168.1.102;Mozilla/5.0 Firefox/119.0;SES-003
4;550e8400-e29b-41d4-a716-446655451004;USER_LOGGED_IN;2024-01-16T09:45:00;1;550e8400-e29b-41d4-a716-446655451104;USR_004;UserAggregate;4;operator;2024-01-16T09:45:00;192.168.1.103;Mozilla/5.0 Safari/17.0;SES-004
5;550e8400-e29b-41d4-a716-446655451005;USER_LOGGED_IN;2024-01-16T10:15:00;1;550e8400-e29b-41d4-a716-446655451105;USR_005;UserAggregate;5;viewer;2024-01-16T10:15:00;192.168.1.104;Mozilla/5.0 Edge/120.0;SES-005
6;550e8400-e29b-41d4-a716-446655451006;USER_LOGGED_IN;2024-01-16T10:45:00;1;550e8400-e29b-41d4-a716-446655451106;USR_006;UserAggregate;6;auditor;2024-01-16T10:45:00;192.168.1.105;Mozilla/5.0 Chrome/120.0;SES-006
7;550e8400-e29b-41d4-a716-446655451007;USER_LOGGED_IN;2024-01-16T11:15:00;1;550e8400-e29b-41d4-a716-446655451107;USR_007;UserAggregate;7;supervisor;2024-01-16T11:15:00;192.168.1.106;Mozilla/5.0 Chrome/120.0;SES-007
8;550e8400-e29b-41d4-a716-446655451008;USER_LOGGED_IN;2024-01-16T11:45:00;1;550e8400-e29b-41d4-a716-446655451108;USR_008;UserAggregate;8;technician;2024-01-16T11:45:00;192.168.1.107;Mozilla/5.0 Firefox/119.0;SES-008
9;550e8400-e29b-41d4-a716-446655451009;USER_LOGGED_IN;2024-01-16T12:15:00;1;550e8400-e29b-41d4-a716-446655451109;USR_009;UserAggregate;9;coordinator;2024-01-16T12:15:00;192.168.1.108;Mozilla/5.0 Safari/17.0;SES-009
10;550e8400-e29b-41d4-a716-446655451010;USER_LOGGED_IN;2024-01-16T12:45:00;1;550e8400-e29b-41d4-a716-446655451110;USR_010;UserAggregate;10;specialist;2024-01-16T12:45:00;192.168.1.109;Mozilla/5.0 Chrome/120.0;SES-010
