id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;asset_id;asset_number;asset_tag;disposal_amount;disposal_date;disposal_method;disposal_reason
1;550e8400-e29b-41d4-a716-446655440301;ASSET_DISPOSED;2024-01-16T14:00:00;1;550e8400-e29b-41d4-a716-446655440401;ASSET_001;AssetRegistration;1;AST001;TAG001;15000.00;2024-01-16;Sale;End of useful life
2;550e8400-e29b-41d4-a716-446655440302;ASSET_DISPOSED;2024-01-16T14:30:00;1;550e8400-e29b-41d4-a716-446655440402;ASSET_002;AssetRegistration;2;AST002;TAG002;8500.75;2024-01-16;Donation;Obsolete technology
3;550e8400-e29b-41d4-a716-446655440303;ASSET_DISPOSED;2024-01-16T15:00:00;1;550e8400-e29b-41d4-a716-446655440403;ASSET_003;AssetRegistration;3;AST003;TAG003;12750.50;2024-01-16;Scrap;Damaged beyond repair
4;550e8400-e29b-41d4-a716-446655440304;ASSET_DISPOSED;2024-01-16T15:30:00;1;550e8400-e29b-41d4-a716-446655440404;ASSET_004;AssetRegistration;4;AST004;TAG004;25600.00;2024-01-16;Trade-in;Upgrade to newer model
5;550e8400-e29b-41d4-a716-446655440305;ASSET_DISPOSED;2024-01-16T16:00:00;1;550e8400-e29b-41d4-a716-446655440405;ASSET_005;AssetRegistration;5;AST005;TAG005;18900.25;2024-01-16;Sale;Surplus equipment
6;550e8400-e29b-41d4-a716-446655440306;ASSET_DISPOSED;2024-01-16T16:30:00;1;550e8400-e29b-41d4-a716-446655440406;ASSET_006;AssetRegistration;6;AST006;TAG006;35400.80;2024-01-16;Auction;Facility closure
7;550e8400-e29b-41d4-a716-446655440307;ASSET_DISPOSED;2024-01-16T17:00:00;1;550e8400-e29b-41d4-a716-446655440407;ASSET_007;AssetRegistration;7;AST007;TAG007;9200.45;2024-01-16;Disposal;Safety concerns
8;550e8400-e29b-41d4-a716-446655440308;ASSET_DISPOSED;2024-01-16T17:30:00;1;550e8400-e29b-41d4-a716-446655440408;ASSET_008;AssetRegistration;8;AST008;TAG008;22100.90;2024-01-16;Sale;Technology refresh
9;550e8400-e29b-41d4-a716-446655440309;ASSET_DISPOSED;2024-01-16T18:00:00;1;550e8400-e29b-41d4-a716-446655440409;ASSET_009;AssetRegistration;9;AST009;TAG009;28750.60;2024-01-16;Transfer;Department restructure
10;550e8400-e29b-41d4-a716-446655440310;ASSET_DISPOSED;2024-01-16T18:30:00;1;550e8400-e29b-41d4-a716-446655440410;ASSET_010;AssetRegistration;10;AST010;TAG010;16800.70;2024-01-16;Scrap;Maintenance cost exceeded value
