id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;audit_type;compliance_standard;audit_result;auditor_name;audit_date;findings_summary
1;550e8400-e29b-41d4-a716-446655442001;COMPLIANCE_AUDIT;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655442101;AUDIT_001;ComplianceAudit;Financial;IFRS16;Compliant;External Auditors Inc;2024-01-16;All lease accounting standards met
2;550e8400-e29b-41d4-a716-446655442002;COMPLIANCE_AUDIT;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655442102;AUDIT_002;ComplianceAudit;Security;ISO27001;Non-Compliant;Security Audit Corp;2024-01-16;Password policy needs strengthening
3;550e8400-e29b-41d4-a716-446655442003;COMPLIANCE_AUDIT;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655442103;AUDIT_003;ComplianceAudit;Data Protection;GDPR;Compliant;Privacy Auditors Ltd;2024-01-16;Data handling procedures adequate
4;550e8400-e29b-41d4-a716-446655442004;COMPLIANCE_AUDIT;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655442104;AUDIT_004;ComplianceAudit;Financial;SOX;Compliant;Financial Compliance Inc;2024-01-16;Internal controls functioning properly
5;550e8400-e29b-41d4-a716-446655442005;COMPLIANCE_AUDIT;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655442105;AUDIT_005;ComplianceAudit;Environmental;ISO14001;Partially Compliant;Green Audit Services;2024-01-16;Waste management improvements needed
6;550e8400-e29b-41d4-a716-446655442006;COMPLIANCE_AUDIT;2024-01-16T14:00:00;1;550e8400-e29b-41d4-a716-446655442106;AUDIT_006;ComplianceAudit;Quality;ISO9001;Compliant;Quality Assurance Corp;2024-01-16;Quality management system effective
7;550e8400-e29b-41d4-a716-446655442007;COMPLIANCE_AUDIT;2024-01-16T15:00:00;1;550e8400-e29b-41d4-a716-446655442107;AUDIT_007;ComplianceAudit;Health Safety;OSHA;Non-Compliant;Safety First Auditors;2024-01-16;Emergency procedures require updates
8;550e8400-e29b-41d4-a716-446655442008;COMPLIANCE_AUDIT;2024-01-16T16:00:00;1;550e8400-e29b-41d4-a716-446655442108;AUDIT_008;ComplianceAudit;IT Governance;COBIT;Compliant;IT Governance Experts;2024-01-16;IT processes well documented
9;550e8400-e29b-41d4-a716-446655442009;COMPLIANCE_AUDIT;2024-01-16T17:00:00;1;550e8400-e29b-41d4-a716-446655442109;AUDIT_009;ComplianceAudit;Risk Management;COSO;Partially Compliant;Risk Assessment Inc;2024-01-16;Risk monitoring needs enhancement
10;550e8400-e29b-41d4-a716-446655442010;COMPLIANCE_AUDIT;2024-01-16T18:00:00;1;550e8400-e29b-41d4-a716-446655442110;AUDIT_010;ComplianceAudit;Anti-Money Laundering;AML;Compliant;AML Compliance Corp;2024-01-16;Transaction monitoring effective
