id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;user_id;username;logout_timestamp;session_duration;session_id
1;550e8400-e29b-41d4-a716-446655452001;USER_LOGGED_OUT;2024-01-16T16:15:00;1;550e8400-e29b-41d4-a716-446655452101;USR_001;UserAggregate;1;admin;2024-01-16T16:15:00;480;SES-001
2;550e8400-e29b-41d4-a716-446655452002;USER_LOGGED_OUT;2024-01-16T16:45:00;1;550e8400-e29b-41d4-a716-446655452102;USR_002;UserAggregate;2;manager;2024-01-16T16:45:00;480;SES-002
3;550e8400-e29b-41d4-a716-446655452003;USER_LOGGED_OUT;2024-01-16T17:15:00;1;550e8400-e29b-41d4-a716-446655452103;USR_003;UserAggregate;3;analyst;2024-01-16T17:15:00;480;SES-003
4;550e8400-e29b-41d4-a716-446655452004;USER_LOGGED_OUT;2024-01-16T17:45:00;1;550e8400-e29b-41d4-a716-446655452104;USR_004;UserAggregate;4;operator;2024-01-16T17:45:00;480;SES-004
5;550e8400-e29b-41d4-a716-446655452005;USER_LOGGED_OUT;2024-01-16T18:15:00;1;550e8400-e29b-41d4-a716-446655452105;USR_005;UserAggregate;5;viewer;2024-01-16T18:15:00;480;SES-005
6;550e8400-e29b-41d4-a716-446655452006;USER_LOGGED_OUT;2024-01-16T18:45:00;1;550e8400-e29b-41d4-a716-446655452106;USR_006;UserAggregate;6;auditor;2024-01-16T18:45:00;480;SES-006
7;550e8400-e29b-41d4-a716-446655452007;USER_LOGGED_OUT;2024-01-16T19:15:00;1;550e8400-e29b-41d4-a716-446655452107;USR_007;UserAggregate;7;supervisor;2024-01-16T19:15:00;480;SES-007
8;550e8400-e29b-41d4-a716-446655452008;USER_LOGGED_OUT;2024-01-16T19:45:00;1;550e8400-e29b-41d4-a716-446655452108;USR_008;UserAggregate;8;technician;2024-01-16T19:45:00;480;SES-008
9;550e8400-e29b-41d4-a716-446655452009;USER_LOGGED_OUT;2024-01-16T20:15:00;1;550e8400-e29b-41d4-a716-446655452109;USR_009;UserAggregate;9;coordinator;2024-01-16T20:15:00;480;SES-009
10;550e8400-e29b-41d4-a716-446655452010;USER_LOGGED_OUT;2024-01-16T20:45:00;1;550e8400-e29b-41d4-a716-446655452110;USR_010;UserAggregate;10;specialist;2024-01-16T20:45:00;480;SES-010
