id;event_id;event_type;occurred_on;version;correlation_id;aggregate_id;aggregate_type;invoice_id;invoice_number;settlement_amount;settlement_date;payment_method;settled_by_user_id
1;550e8400-e29b-41d4-a716-446655445001;INVOICE_SETTLED;2024-01-16T09:00:00;1;550e8400-e29b-41d4-a716-446655445101;INV_001;InvoiceAggregate;1;INV-2024-001;125000.50;2024-01-16;Bank Transfer;1
2;550e8400-e29b-41d4-a716-446655445002;INVOICE_SETTLED;2024-01-16T09:30:00;1;550e8400-e29b-41d4-a716-446655445102;INV_002;InvoiceAggregate;2;INV-2024-002;89750.25;2024-01-16;Credit Card;2
3;550e8400-e29b-41d4-a716-446655445003;INVOICE_SETTLED;2024-01-16T10:00:00;1;550e8400-e29b-41d4-a716-446655445103;INV_003;InvoiceAggregate;3;INV-2024-003;67890.75;2024-01-16;Cash;3
4;550e8400-e29b-41d4-a716-446655445004;INVOICE_SETTLED;2024-01-16T10:30:00;1;550e8400-e29b-41d4-a716-446655445104;INV_004;InvoiceAggregate;4;INV-2024-004;156780.00;2024-01-16;Check;4
5;550e8400-e29b-41d4-a716-446655445005;INVOICE_SETTLED;2024-01-16T11:00:00;1;550e8400-e29b-41d4-a716-446655445105;INV_005;InvoiceAggregate;5;INV-2024-005;98456.30;2024-01-16;Wire Transfer;5
6;550e8400-e29b-41d4-a716-446655445006;INVOICE_SETTLED;2024-01-16T11:30:00;1;550e8400-e29b-41d4-a716-446655445106;INV_006;InvoiceAggregate;6;INV-2024-006;234567.80;2024-01-16;ACH;6
7;550e8400-e29b-41d4-a716-446655445007;INVOICE_SETTLED;2024-01-16T12:00:00;1;550e8400-e29b-41d4-a716-446655445107;INV_007;InvoiceAggregate;7;INV-2024-007;78923.45;2024-01-16;Bank Transfer;7
8;550e8400-e29b-41d4-a716-446655445008;INVOICE_SETTLED;2024-01-16T12:30:00;1;550e8400-e29b-41d4-a716-446655445108;INV_008;InvoiceAggregate;8;INV-2024-008;145632.90;2024-01-16;Credit Card;8
9;550e8400-e29b-41d4-a716-446655445009;INVOICE_SETTLED;2024-01-16T13:00:00;1;550e8400-e29b-41d4-a716-446655445109;INV_009;InvoiceAggregate;9;INV-2024-009;187456.60;2024-01-16;Electronic Payment;9
10;550e8400-e29b-41d4-a716-446655445010;INVOICE_SETTLED;2024-01-16T13:30:00;1;550e8400-e29b-41d4-a716-446655445110;INV_010;InvoiceAggregate;10;INV-2024-010;112345.70;2024-01-16;Direct Debit;10
